competen;codufmun;cnes;tp_leito;DS_TP_LEITO;co_leito;DS_CO_LEITO;qt_exist;qt_contr;qt_sus;qt_nsus
202506;130260;4915216;1;CIRURGICO;67;TRANSPLANTE;3;0;3;0
202506;130260;4915216;5;PEDIATRICO;68;PEDIATRIA CIRURGICA;14;0;14;0
202506;130260;4915216;3;COMPLEMENTAR;75;UTI ADULTO - TIPO II;7;0;0;7
202506;130260;4915216;3;COMPLEMENTAR;78;UTI PEDIATRICA - TIPO II;7;0;0;7
202506;130260;4925645;2;CLINICO;33;CLINICA GERAL;10;0;10;0
202506;130260;4925645;1;CIRURGICO;3;CIRURGIA GERAL;4;0;4;0
202506;130260;5077060;6;OUTRAS ESPECIALIDADES;84;ACOLHIMENTO NOTURNO;6;0;6;0
202506;130260;5169976;1;CIRURGICO;3;CIRURGIA GERAL;37;0;37;0
202506;130260;5169976;1;CIRURGICO;13;ORTOPEDIATRAUMATOLOGIA;36;0;36;0
202506;130260;5169976;2;CLINICO;33;CLINICA GERAL;118;0;118;0
202506;130260;5169976;3;COMPLEMENTAR;78;UTI PEDIATRICA - TIPO II;5;0;5;0
202506;130260;5169976;3;COMPLEMENTAR;75;UTI ADULTO - TIPO II;31;0;11;20
202506;130260;5441560;2;CLINICO;33;CLINICA GERAL;9;0;0;9
202506;130260;5967368;1;CIRURGICO;11;OFTALMOLOGIA;1;0;1;0
202506;130260;6264409;1;CIRURGICO;3;CIRURGIA GERAL;5;0;0;5
202506;130260;6463525;6;OUTRAS ESPECIALIDADES;84;ACOLHIMENTO NOTURNO;12;0;1;11
202506;130260;6627595;4;OBSTERICO;43;OBSTETRICIA CLINICA;32;0;32;0
202506;130260;6627595;2;CLINICO;33;CLINICA GERAL;12;0;12;0
202506;130260;6627595;4;OBSTERICO;10;OBSTETRICIA CIRURGICA;36;0;36;0
202506;130260;6627595;1;CIRURGICO;6;GINECOLOGIA;36;0;36;0
202506;130260;6627595;3;COMPLEMENTAR;93;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CANGURU;12;0;12;0
202506;130260;6627595;3;COMPLEMENTAR;92;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL;15;0;15;0
202506;130260;6627595;3;COMPLEMENTAR;81;UTI NEONATAL - TIPO II;15;0;10;5
202506;130260;6627595;3;COMPLEMENTAR;75;UTI ADULTO - TIPO II;15;0;0;15
202506;130260;6627595;1;CIRURGICO;3;CIRURGIA GERAL;10;0;10;0
202506;130260;6627595;5;PEDIATRICO;45;PEDIATRIA CLINICA;8;0;8;0
202506;130260;7564546;1;CIRURGICO;6;GINECOLOGIA;10;0;10;0
202506;130260;7564546;1;CIRURGICO;3;CIRURGIA GERAL;48;0;48;0
202506;130260;7564546;1;CIRURGICO;16;TORACICA;4;0;4;0
202506;130260;7564546;1;CIRURGICO;67;TRANSPLANTE;4;0;4;0
202506;130260;7564546;3;COMPLEMENTAR;75;UTI ADULTO - TIPO II;100;0;100;0
202506;130260;7564546;2;CLINICO;33;CLINICA GERAL;177;0;177;0
202506;130260;7564546;7;HOSPITAL DIA;7;CIRURGICO/DIAGNOSTICO/TERAPEUTICO;10;0;10;0
202506;130260;7847718;2;CLINICO;87;SAUDE MENTAL;1;0;0;1
202506;130260;7847718;3;COMPLEMENTAR;95;UNIDADE DE CUIDADOS INTERMEDIARIOS ADULTO;1;0;1;0
202506;130260;7847718;6;OUTRAS ESPECIALIDADES;84;ACOLHIMENTO NOTURNO;12;0;1;11
202506;130260;7978391;2;CLINICO;33;CLINICA GERAL;10;0;0;10
202506;130260;7978391;1;CIRURGICO;3;CIRURGIA GERAL;10;0;0;10
202506;130260;9115153;3;COMPLEMENTAR;75;UTI ADULTO - TIPO II;19;0;0;19
202506;130260;9115153;2;CLINICO;33;CLINICA GERAL;20;0;0;20
202506;130260;9344314;3;COMPLEMENTAR;76;UTI ADULTO - TIPO III;6;0;0;6
202506;130260;9344314;2;CLINICO;33;CLINICA GERAL;9;0;0;9
202506;130260;9344314;1;CIRURGICO;3;CIRURGIA GERAL;21;0;0;21
202506;130260;9697217;4;OBSTERICO;43;OBSTETRICIA CLINICA;31;0;0;31
202506;130260;9697217;5;PEDIATRICO;45;PEDIATRIA CLINICA;28;0;0;28
202506;130260;9697217;3;COMPLEMENTAR;80;UTI NEONATAL - TIPO I;13;0;0;13
202506;130270;2014688;2;CLINICO;33;CLINICA GERAL;21;0;21;0
202506;130270;2014688;4;OBSTERICO;10;OBSTETRICIA CIRURGICA;4;0;4;0
202506;130270;2014688;1;CIRURGICO;3;CIRURGIA GERAL;20;0;20;0
202506;130270;2014688;5;PEDIATRICO;68;PEDIATRIA CIRURGICA;2;0;2;0
202506;130270;2014688;4;OBSTERICO;43;OBSTETRICIA CLINICA;8;0;8;0
202506;130270;2014688;5;PEDIATRICO;45;PEDIATRIA CLINICA;4;0;4;0
202506;130270;4688465;5;PEDIATRICO;45;PEDIATRIA CLINICA;2;0;2;0
202506;130270;4688465;1;CIRURGICO;3;CIRURGIA GERAL;5;0;5;0
202506;130270;4688465;2;CLINICO;33;CLINICA GERAL;10;0;10;0
202506;130270;4688465;4;OBSTERICO;43;OBSTETRICIA CLINICA;2;0;2;0
202506;130280;2017660;4;OBSTERICO;43;OBSTETRICIA CLINICA;3;0;3;0
202506;130280;2017660;5;PEDIATRICO;45;PEDIATRIA CLINICA;5;0;5;0
202506;130280;2017660;2;CLINICO;33;CLINICA GERAL;5;0;5;0
202506;130280;2017660;1;CIRURGICO;3;CIRURGIA GERAL;4;0;4;0
202506;130280;2017660;4;OBSTERICO;10;OBSTETRICIA CIRURGICA;2;0;2;0
202506;130290;2018144;2;CLINICO;33;CLINICA GERAL;33;0;33;0
202506;130290;2018144;4;OBSTERICO;43;OBSTETRICIA CLINICA;23;0;23;0
202506;130290;2018144;4;OBSTERICO;10;OBSTETRICIA CIRURGICA;5;0;5;0
202506;130290;2018144;1;CIRURGICO;3;CIRURGIA GERAL;14;0;14;0
202506;130290;2018144;5;PEDIATRICO;45;PEDIATRIA CLINICA;20;0;20;0
202506;130300;2016540;1;CIRURGICO;3;CIRURGIA GERAL;2;0;2;0
202506;130300;2016540;2;CLINICO;33;CLINICA GERAL;13;0;13;0
202506;130300;2016540;5;PEDIATRICO;45;PEDIATRIA CLINICA;4;0;4;0
202506;130300;2016540;4;OBSTERICO;43;OBSTETRICIA CLINICA;5;0;5;0
202506;130310;2011905;1;CIRURGICO;3;CIRURGIA GERAL;4;0;4;0
202506;130310;2011905;2;CLINICO;33;CLINICA GERAL;15;0;15;0
202506;130310;2011905;6;OUTRAS ESPECIALIDADES;48;REABILITACAO;2;0;2;0
202506;130310;2011905;5;PEDIATRICO;45;PEDIATRIA CLINICA;6;0;6;0
202506;130310;2011905;4;OBSTERICO;43;OBSTETRICIA CLINICA;15;0;15;0
202506;130320;2708922;1;CIRURGICO;3;CIRURGIA GERAL;4;0;4;0
202506;130320;2708922;4;OBSTERICO;10;OBSTETRICIA CIRURGICA;4;0;4;0
202506;130320;2708922;4;OBSTERICO;43;OBSTETRICIA CLINICA;3;0;3;0
202506;130320;2708922;5;PEDIATRICO;45;PEDIATRIA CLINICA;5;0;5;0
202506;130320;2708922;2;CLINICO;33;CLINICA GERAL;10;0;10;0
202506;130330;2019604;2;CLINICO;87;SAUDE MENTAL;2;0;0;2
202506;130330;2019604;1;CIRURGICO;3;CIRURGIA GERAL;4;0;4;0
